[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -5.0501400000e+01  ,  -9.2400000000e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 4.3674053192e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
             1636758,                -272,   -5.1794139862e+01,                  27,                  60,    1.3405007124e+00,   -2.6119442749e+02,    6.9539618492e+00,    3.6946563721e+00
             1646713,                -247,   -5.1794139862e+01,                 -21,                  90,    2.2541391850e+00,   -2.4174688721e+02,    6.9320988655e+00,    2.6683163643e+00
             1656758,                -223,   -5.1794139862e+01,                 -53,                  60,    2.1445834637e+00,   -2.2116539001e+02,    6.9129776955e+00,    5.6452016830e+00
             1666714,                -204,   -5.1794139862e+01,                 -53,                  60,    1.7129719257e+00,   -1.9989697266e+02,    6.8996739388e+00,    3.3625733852e+00
             1676756,                -184,   -5.1794139862e+01,                 -37,                  60,    1.7876882553e+00,   -1.7765293884e+02,    6.8869266510e+00,    1.5965991020e+00
             1686715,                -168,   -5.1794139862e+01,                 -37,                  30,    1.4420684576e+00,   -1.5489424133e+02,    6.8798928261e+00,    5.9689960480e+00
             1696756,                -157,   -5.1794139862e+01,                 -53,                   0,    9.8332673311e-01,   -1.3133460999e+02,    6.8801503181e+00,    1.8453411102e+01
             1706810,                -151,    1.7159488525e+03,                 -53,                  30,    5.3566664457e-01,   -1.0722091675e+02,    6.8874187469e+00,    0.0000000000e+00
             1716757,                -149,    1.7159488525e+03,                 -21,                   0,    1.8047527969e-01,   -8.2942588806e+01,    6.9001035690e+00,    2.2281158447e+01
             1726714,                -150,    4.7134907227e+03,                 -21,                   0,   -9.0147763491e-02,   -5.8315525055e+01,    6.9169950485e+00,    0.0000000000e+00
             1736758,                -147,    4.7134907227e+03,                1751,                   0,    2.6810073853e-01,   -3.3242389679e+01,    6.9293479919e+00,    2.2076038361e+01
             1746588,                -140,    6.0465590820e+03,                1719,                  30,    6.3918405771e-01,   -8.5746345520e+00,    6.9365549088e+00,    0.0000000000e+00
             1756874,                -122,    6.0465590820e+03,                4748,                  60,    1.5707528591e+00,    1.7270875931e+01,    6.9308409691e+00,    7.9006233215e+00
             1766833,                 -99,    5.2167377930e+03,                4716,                  60,    2.0729753971e+00,    4.2227111816e+01,    6.9182944298e+00,    0.0000000000e+00
             1776872,                 -75,    5.2167377930e+03,                6070,                  60,    2.1458652020e+00,    6.7216278076e+01,    6.9044456482e+00,    9.9184346199e-01
             1786835,                 -47,    5.2167377930e+03,                6037,                  90,    2.5226080418e+00,    9.1752189636e+01,    6.8851876259e+00,    2.5154387951e+00
             1796893,                 -22,    5.2167377930e+03,                5232,                  60,    2.2310547829e+00,    1.1615715790e+02,    6.8693909645e+00,    3.0740196705e+00
             1806833,                  -2,    5.2167377930e+03,                5216,                  60,    1.8060321808e+00,    1.3982057190e+02,    6.8591232300e+00,    6.5072542429e-01
             1816894,                  16,    5.2167377930e+03,                5296,                  30,    1.6058804989e+00,    1.6321644592e+02,    6.8508777618e+00,    6.0075187683e+00
             1826831,                  34,    5.2167377930e+03,                5232,                  60,    1.6259194613e+00,    1.8568432617e+02,    6.8416938782e+00,    1.0466768265e+01
             1836929,                  49,    6.7863359375e+03,                5151,                  30,    1.3333305120e+00,    2.0777447510e+02,    6.8355770111e+00,    0.0000000000e+00
             1846897,                  65,    6.7863359375e+03,                5232,                  60,    1.4407664537e+00,    2.2876054382e+02,    6.8270616531e+00,    4.9872241020e+00
             1856872,                  82,    6.7863359375e+03,                5232,                  30,    1.5297408104e+00,    2.4886334229e+02,    6.8162155151e+00,    8.0912446976e+00
             1866830,                 105,    6.3139438477e+03,                6811,                  90,    2.0731828213e+00,    2.6795715332e+02,    6.7966756821e+00,    0.0000000000e+00
             1876874,                 136,    6.3139438477e+03,                6779,                  90,    2.7703638077e+00,    2.8615341187e+02,    6.7659325600e+00,    1.2822716713e+01
             1886830,                 169,    4.0214729004e+03,                6714,                 120,    2.9751651287e+00,    3.0306610107e+02,    6.7312417030e+00,    0.0000000000e+00
             1896875,                 199,    4.0214729004e+03,                6327,                  90,    2.6807298660e+00,    3.1892825317e+02,    6.6988759041e+00,    1.4140896797e+01
             1906831,                 228,    2.9068576660e+03,                6295,                  90,    2.6145370007e+00,    3.3339688110e+02,    6.6661882401e+00,    0.0000000000e+00
             1916878,                 246,    2.9068576660e+03,                4039,                  30,    1.6081181765e+00,    3.4667541504e+02,    6.6456308365e+00,    4.8275241852e+00
